timestamp,host,source,device_index,policy_name,hz,cpu_util,gpu_util,soc_power_w,gpu_power_w,cpu_power_w,temp_c,cmd_vel_speed,note
2025-09-24T02:25:35.939231Z,Zohrawar,demo,0,workload,2.0,0.0,37.98,44.209,34.9,,55.1,0.598,
2025-09-24T02:25:36.439795Z,Zohrawar,demo,0,workload,2.0,0.0,38.882,43.588,34.9,,55.2,0.6,
2025-09-24T02:25:36.940620Z,Zohrawar,demo,0,workload,2.0,0.0,39.541,42.823,34.123,,55.3,0.599,
2025-09-24T02:25:37.441150Z,Zohrawar,demo,0,workload,2.0,0.1,39.918,41.946,32.694,,55.401,0.595,
2025-09-24T02:25:37.941863Z,Zohrawar,demo,0,workload,2.0,0.0,39.988,40.991,30.838,,55.501,0.588,
2025-09-24T02:25:38.442545Z,Zohrawar,demo,0,workload,2.0,0.0,39.747,39.996,28.85,,55.601,0.578,
2025-09-24T02:25:38.943258Z,Zohrawar,demo,0,workload,2.0,0.0,39.21,39.001,27.044,,55.701,0.565,
2025-09-24T02:25:39.444000Z,Zohrawar,demo,0,workload,2.0,0.0,38.411,38.047,25.705,,55.801,0.549,
2025-09-24T02:25:39.944865Z,Zohrawar,demo,0,workload,2.0,0.0,37.398,37.17,25.047,,55.901,0.532,
2025-09-24T02:25:40.445546Z,Zohrawar,demo,0,workload,2.0,0.1,36.236,36.406,25.173,,56.001,0.511,
2025-09-24T02:25:40.946351Z,Zohrawar,demo,0,workload,2.0,0.0,34.997,35.786,26.063,,56.102,0.489,
2025-09-24T02:25:41.447119Z,Zohrawar,demo,0,workload,2.0,0.1,33.759,35.335,27.577,,56.202,0.465,
2025-09-24T02:25:41.947803Z,Zohrawar,demo,0,workload,2.0,0.0,32.597,35.07,29.474,,56.302,0.439,
2025-09-24T02:25:42.448468Z,Zohrawar,demo,0,workload,2.0,0.0,31.586,35.003,31.455,,56.402,0.412,
2025-09-24T02:25:42.949195Z,Zohrawar,demo,0,workload,2.0,0.0,30.787,35.135,33.205,,56.502,0.383,
2025-09-24T02:25:43.449932Z,Zohrawar,demo,0,workload,2.0,0.0,30.251,35.461,34.448,,56.602,0.354,
2025-09-24T02:25:43.950829Z,Zohrawar,demo,0,workload,2.0,0.0,30.012,35.969,34.986,,56.702,0.324,
2025-09-24T02:25:44.452188Z,Zohrawar,demo,0,workload,2.0,0.1,30.083,36.64,34.734,,56.803,0.3,
2025-09-24T02:25:44.952951Z,Zohrawar,demo,0,workload,2.0,0.0,30.461,37.444,33.733,,56.903,0.3,
2025-09-24T02:25:45.453758Z,Zohrawar,demo,0,workload,2.0,0.0,31.123,38.35,32.14,,57.003,0.3,
2025-09-24T02:25:45.954374Z,Zohrawar,demo,0,workload,2.0,0.0,32.026,39.322,30.208,,57.103,0.3,
2025-09-24T02:25:46.455206Z,Zohrawar,demo,0,workload,2.0,0.1,33.115,40.321,28.243,,57.203,0.3,
2025-09-24T02:25:46.956082Z,Zohrawar,demo,0,workload,2.0,0.0,34.321,41.308,26.556,,57.304,0.3,
2025-09-24T02:25:47.456855Z,Zohrawar,demo,0,workload,2.0,0.0,35.57,42.242,25.415,,57.404,0.3,
2025-09-24T02:25:47.957616Z,Zohrawar,demo,0,workload,2.0,0.0,36.783,43.086,25.0,,57.504,0.3,
2025-09-24T02:25:48.458332Z,Zohrawar,demo,0,workload,2.0,0.1,37.884,43.807,25.377,,57.604,0.3,
2025-09-24T02:25:48.959294Z,Zohrawar,demo,0,workload,2.0,0.0,38.807,44.376,26.486,,57.704,0.3,
2025-09-24T02:25:49.460030Z,Zohrawar,demo,0,workload,2.0,0.1,39.491,44.77,28.151,,57.804,0.3,
2025-09-24T02:25:49.960770Z,Zohrawar,demo,0,workload,2.0,0.0,39.896,44.973,30.109,,57.904,0.3,
2025-09-24T02:25:50.461529Z,Zohrawar,demo,0,workload,2.0,0.0,39.995,44.977,32.05,,58.005,0.3,
2025-09-24T02:25:50.962316Z,Zohrawar,demo,0,workload,2.0,0.0,39.782,44.782,33.666,,58.105,0.3,
2025-09-24T02:25:51.463028Z,Zohrawar,demo,0,workload,2.0,0.0,39.272,44.396,34.702,,58.205,0.3,
2025-09-24T02:25:51.963846Z,Zohrawar,demo,0,workload,2.0,0.0,38.495,43.834,34.993,,58.305,0.3,
2025-09-24T02:25:52.464530Z,Zohrawar,demo,0,workload,2.0,0.0,37.5,43.119,34.493,,58.405,0.3,
2025-09-24T02:25:52.965780Z,Zohrawar,demo,0,workload,2.0,0.0,36.348,42.279,33.281,,58.505,0.3,
2025-09-24T02:25:53.466288Z,Zohrawar,demo,0,workload,2.0,0.0,35.114,41.348,31.551,,58.606,0.3,
2025-09-24T02:25:53.967028Z,Zohrawar,demo,0,workload,2.0,0.1,33.871,40.363,29.574,,58.706,0.3,
2025-09-24T02:25:54.467776Z,Zohrawar,demo,0,workload,2.0,0.0,32.7,39.363,27.665,,58.806,0.3,
2025-09-24T02:25:54.968580Z,Zohrawar,demo,0,workload,2.0,0.0,31.671,38.389,26.126,,58.906,0.3,
2025-09-24T02:25:55.469376Z,Zohrawar,demo,0,workload,2.0,0.0,30.851,37.48,25.2,,59.006,0.3,
2025-09-24T02:25:55.970064Z,Zohrawar,demo,0,workload,2.0,0.0,30.289,36.671,25.034,,59.106,0.3,
2025-09-24T02:25:56.471063Z,Zohrawar,demo,0,workload,2.0,0.2,30.021,35.995,25.655,,59.207,0.3,
2025-09-24T02:25:56.971689Z,Zohrawar,demo,0,workload,2.0,0.0,30.063,35.48,26.964,,59.307,0.3,
2025-09-24T02:25:57.472419Z,Zohrawar,demo,0,workload,2.0,0.1,30.414,35.145,28.753,,59.407,0.3,
2025-09-24T02:25:57.973139Z,Zohrawar,demo,0,workload,2.0,0.0,31.05,35.004,30.74,,59.507,0.3,
2025-09-24T02:25:58.474050Z,Zohrawar,demo,0,workload,2.0,0.1,31.933,35.063,32.61,,59.607,0.3,
2025-09-24T02:25:58.974925Z,Zohrawar,demo,0,workload,2.0,0.0,33.007,35.32,34.067,,59.707,0.3,
2025-09-24T02:25:59.475708Z,Zohrawar,demo,0,workload,2.0,0.0,34.205,35.764,34.879,,59.807,0.3,
2025-09-24T02:25:59.976621Z,Zohrawar,demo,0,workload,2.0,0.0,35.454,36.377,34.919,,59.908,0.3,
2025-09-24T02:26:00.477414Z,Zohrawar,demo,0,workload,2.0,0.0,36.673,37.135,34.179,,60.008,0.325,
2025-09-24T02:26:00.978138Z,Zohrawar,demo,0,workload,2.0,0.0,37.789,38.008,32.778,,60.108,0.355,
2025-09-24T02:26:01.478844Z,Zohrawar,demo,0,workload,2.0,0.0,38.73,38.96,30.937,,60.208,0.384,
2025-09-24T02:26:01.979451Z,Zohrawar,demo,0,workload,2.0,0.0,39.438,39.954,28.948,,60.308,0.412,
2025-09-24T02:26:02.480165Z,Zohrawar,demo,0,workload,2.0,0.0,39.87,40.949,27.125,,60.408,0.44,
2025-09-24T02:26:02.980925Z,Zohrawar,demo,0,workload,2.0,0.1,39.999,41.907,25.757,,60.508,0.465,
